文书名称,字段名称
行政处罚告知笔录,文书名称
行政处罚告知笔录,姓名
行政处罚告知笔录,违法事实
行政处罚告知笔录,法律条款
行政处罚告知笔录,陈述和申辩
行政处罚告知笔录,听证告知
行政处罚告知笔录,被告知人签名
行政处罚告知笔录,告知时间
行政处罚告知笔录,处罚结论
行政处罚告知笔录,是否有捺印
行政处罚决定书,文书名称
行政处罚决定书,文书文号
行政处罚决定书,姓名
行政处罚决定书,性别
行政处罚决定书,出生日期
行政处罚决定书,证件类型
行政处罚决定书,证件号码
行政处罚决定书,户籍地
行政处罚决定书,现住址
行政处罚决定书,工作单位
行政处罚决定书,前科劣迹
行政处罚决定书,违法事实
行政处罚决定书,法律条款
行政处罚决定书,处罚结论
行政处罚决定书,执行方式
行政处罚决定书,执行期限
行政处罚决定书,行政复议部门
行政处罚决定书,行政诉讼部门
行政处罚决定书,行政处罚日期
行政处罚决定书,当事人签名
行政处罚决定书,送达日期
行政处罚决定书,是否有文书公章
不予行政处罚决定书,文书名称
不予行政处罚决定书,文书文号
不予行政处罚决定书,姓名
不予行政处罚决定书,性别
不予行政处罚决定书,出生日期
不予行政处罚决定书,证件类型
不予行政处罚决定书,证件号码
不予行政处罚决定书,户籍地
不予行政处罚决定书,现住址
不予行政处罚决定书,工作单位
不予行政处罚决定书,前科劣迹
不予行政处罚决定书,违法事实
不予行政处罚决定书,法律条款
不予行政处罚决定书,处罚结论
不予行政处罚决定书,行政复议部门
不予行政处罚决定书,行政诉讼部门
不予行政处罚决定书,决定日期
不予行政处罚决定书,当事人签名
不予行政处罚决定书,送达日期
不予行政处罚决定书,是否有文书公章
送达回执,文书名称
送达回执,文书文号
送达回执,送达文书名称
送达回执,送达日期
送达回执,受送达人签名
收缴物品清单,文书名称
收缴物品清单,文书文号
收缴物品清单,物品持有人
收缴物品清单,收缴日期
收缴物品清单,法律条款
收缴物品清单,行政复议部门
收缴物品清单,行政诉讼部门
收缴物品清单,名称
收缴物品清单,数量
收缴物品清单,特征
收缴物品清单,物品处理情况
收缴物品清单,保管人签名
收缴物品清单,办案民警签名
收缴物品清单,是否有文书公章
收缴物品清单,是否有捺印
追缴物品清单,文书名称
追缴物品清单,文书文号
追缴物品清单,物品持有人
追缴物品清单,追缴日期
追缴物品清单,法律条款
追缴物品清单,行政复议部门
追缴物品清单,行政诉讼部门
追缴物品清单,名称
追缴物品清单,数量
追缴物品清单,特征
追缴物品清单,物品处理情况
追缴物品清单,保管人签名
追缴物品清单,办案民警签名
追缴物品清单,是否有文书公章
追缴物品清单,是否有捺印
终止案件调查决定书,文书名称
终止案件调查决定书,文书文号
终止案件调查决定书,终止理由
终止案件调查决定书,法律条款
终止案件调查决定书,落款时间
终止案件调查决定书,原案件违法嫌疑人签名
终止案件调查决定书,原案件被侵害人签名
终止案件调查决定书,是否有文书公章
呈请行政处罚报告书,文书名称
呈请行政处罚报告书,审批时间
呈请行政处罚报告书,呈请事实
呈请行政处罚报告书,法律条款
呈请行政处罚报告书,决定内容
呈请行政处罚报告书,落款时间
呈请收缴报告书,文书名称
呈请收缴报告书,审批时间
呈请收缴报告书,呈请事实
呈请收缴报告书,法律条款
呈请收缴报告书,决定内容
呈请收缴报告书,落款时间
呈请追缴报告书,文书名称
呈请追缴报告书,审批时间
呈请追缴报告书,呈请事实
呈请追缴报告书,法律条款
呈请追缴报告书,决定内容
呈请追缴报告书,落款时间
呈请终止调查报告书,文书名称
呈请终止调查报告书,审批时间
呈请终止调查报告书,呈请事实
呈请终止调查报告书,法律条款
呈请终止调查报告书,决定内容
呈请终止调查报告书,落款时间
行政案件立案登记表,文书名称
行政案件立案登记表,文书文号
行政案件立案登记表,办案单位
行政案件立案登记表,案件来源
行政案件立案登记表,接报时间
行政案件立案登记表,立案日期
行政案件立案登记表,是否接受证据
行政案件立案登记表,简要案情
行政案件立案登记表,是否有文书公章
行政案件立案/不予立案告知书,文书名称
行政案件立案/不予立案告知书,文书文号
行政案件立案/不予立案告知书,报案时间
行政案件立案/不予立案告知书,案件名称
行政案件立案/不予立案告知书,查询途径
行政案件立案/不予立案告知书,告知对象
行政案件立案/不予立案告知书,落款时间
行政案件立案/不予立案告知书,是否有文书公章
接受证据清单,文书名称
接受证据清单,物品编号
接受证据清单,物品名称
接受证据清单,物品数量
接受证据清单,物品特征
接受证据清单,物品备注
接受证据清单,提交人签名
接受证据清单,保管人签名
接受证据清单,受案民警签名
接受证据清单,接受日期
接受证据清单,是否有文书公章
传唤证,文书名称
传唤证,文书文号
传唤证,被传唤人
传唤证,案由
传唤证,法律条款
传唤证,传唤地点
传唤证,落款时间
传唤证,传唤到达时间
传唤证,传唤离开时间
传唤证,是否有文书公章
呈请传唤报告书,文书名称
呈请传唤报告书,审批时间
呈请传唤报告书,呈请事实
呈请传唤报告书,法律条款
呈请传唤报告书,决定内容
呈请传唤报告书,落款时间
呈请延长传唤报告书,文书名称
呈请延长传唤报告书,审批时间
呈请延长传唤报告书,呈请事实
呈请延长传唤报告书,法律条款
呈请延长传唤报告书,决定内容
呈请延长传唤报告书,落款时间
行政拘留执行回执,文书名称
行政拘留执行回执,被执行人
行政拘留执行回执,入所日期
行政拘留执行回执,执行起始日期
行政拘留执行回执,执行结束日期
行政拘留执行回执,拘留所名称
行政拘留执行回执,文书日期
行政拘留执行回执,是否有文书公章
罚没收入统一票据,文书名称
罚没收入统一票据,缴纳人
罚没收入统一票据,缴纳日期
罚没收入统一票据,缴纳金额
行政案件权利义务告知书,文书名称
行政案件权利义务告知书,权利人
行政案件权利义务告知书,权利人签名
行政案件权利义务告知书,签字日期
